"uni_id","cell_id","video_key","treatment","parent","ancestor","no_data_points","track_length","death_time","survival_time","max_filament_length","max_chromosome_length","max_chromosome_area","diff","avg_protein_load","max_protein_load","post_max_protein_retention","no_protein_bud","bud_produced","row_id"
"8:7","2","8","0","0","1",4,3,3,0.25,7.198,10.126,"20.748296",0.333333333333333,0,0,0,0,"NO",237
"8:7","3","8","0","0","1",13,12,12,1,8.296,10.98,"17.533352",0.0833333333333333,0,0,0,0,"NO",238
"8:7","4","8","0","0","1",12,11,11,0.916666666666667,9.028,15.738,"21.745524",0.0909090909090909,0,0,0,0,"NO",239
"8:7","13","8","0","2","0",10,9,13,0.75,7.198,8.296,"14.779812",0.111111111111111,0,0,0,0,"NO",240
"8:7","14","8","0","2","0",10,9,13,0.75,6.832,8.662,"14.884",0.111111111111111,1,1,1,0,"NO",241
"8:7","15","8","0","1","0",13,12,22,1,7.442,10.736,"18.039408",0.0833333333333333,1,1,1,0,"NO",242
"8:7","17","8","0","16","0",13,12,23,1,5.002,7.686,"11.103464",0.0833333333333333,1,1,1,0,"NO",243
"8:7","18","8","0","16","0",12,11,22,0.916666666666667,5.612,9.15,"11.222536",0.0909090909090909,1,1,1,0,"NO",244
"8:7","19","8","0","0","1",4,3,15,0.25,7.442,11.346,"16.714732",0.333333333333333,0,0,0,0,"NO",245
"8:7","20","8","0","4","0",12,11,23,0.916666666666667,10.736,13.542,"27.416328",0.0909090909090909,0,0,0,0,"NO",246
"8:7","21","8","0","3","0",11,10,23,0.833333333333333,10.37,10.492,"24.70744",0.1,1,1,1,0,"NO",247
"8:7","22","8","0","3","0",11,10,23,0.833333333333333,9.76,10.492,"24.70744",0.1,1,1,1,0,"NO",248
"8:7","23","8","0","19","0",8,7,23,0.583333333333333,10.736,13.542,"27.416328",0.142857142857143,1,1,1,0,"NO",249
"8:7","24","8","0","19","0",8,7,23,0.583333333333333,10.736,13.542,"27.416328",0.142857142857143,1,1,1,0,"NO",250
"8:9","2","8","0","0","1",12,11,11,0.916666666666667,6.222,11.712,"15.390056",0.0909090909090909,0,0,0,0,"NO",251
"8:9","3","8","0","0","1",9,8,8,0.666666666666667,6.1,11.102,"18.947332",0.125,0,0,0,0,"NO",252
"8:9","4","8","0","0","1",12,11,11,0.916666666666667,12.078,14.274,"25.942812",0.0909090909090909,1,1,1,0,"NO",253
"8:9","5","8","0","0","1",9,8,8,0.666666666666667,6.466,10.858,"24.573484",0.125,0,0,0,0,"NO",254
"8:9","25","8","0","0","1",7,6,15,0.5,6.222,10.248,"15.211448",0.166666666666667,1,1,1,0,"NO",255
"8:9","26","8","0","0","1",7,6,15,0.5,5.734,11.468,"14.497016",0.166666666666667,1,1,1,0,"NO",256
"8:9","27","8","0","0","1",4,3,12,0.25,5.734,13.176,"15.017956",0.333333333333333,0,0,0,0,"NO",257
"8:9","28","8","0","0","1",4,3,12,0.25,4.88,8.174,"14.616088",0.333333333333333,0,0,0,0,"NO",258
"8:9","35","8","0","27","0",11,10,23,0.833333333333333,4.636,7.686,"10.656944",0.1,1,1,1,0,"NO",259
